State,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
California,6021306.0,5865435.0,816536.0,12583.0,0.0,17279.0,86931.0,1546745.0,1328347.0,95738.0,31098.0,252193.0,467209.0,55275.0,5050.0,6435.0,18554.0,280.0,60742.0,11449.0,81504.0,54003.0,679781.0,1477.0,31969.0,204257.0,155871.0,25912.0,36443.0,17530.0,2077.0,24757.0,387.0,2434.0,31454.0,113.0,10364.0,4400.0
Colorado,188461.0,188461.0,27463.0,0.0,1442.0,642.0,2062.0,37746.0,23481.0,3071.0,1620.0,11263.0,24033.0,4541.0,250.0,1061.0,9778.0,0.0,3348.0,47.0,1170.0,3424.0,23860.0,63.0,2859.0,5237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,28722.0,28722.0,9305.0,396.0,0.0,239.0,0.0,7031.0,2436.0,0.0,72.0,499.0,3877.0,0.0,44.0,0.0,98.0,0.0,425.0,153.0,366.0,285.0,2609.0,0.0,215.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,127154.0,127154.0,32155.0,448.0,0.0,722.0,482.0,31738.0,17701.0,953.0,0.0,2866.0,8742.0,516.0,66.0,45.0,1635.0,0.0,3551.0,158.0,1611.0,2671.0,16718.0,0.0,2213.0,2163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,47740.0,47740.0,6992.0,105.0,195.0,4412.0,536.0,5567.0,2908.0,412.0,345.0,2336.0,4512.0,753.0,194.0,0.0,2498.0,0.0,86.0,281.0,113.0,1954.0,11460.0,0.0,1017.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,283746.0,261159.0,17102.0,137.0,116.0,508.0,2374.0,41347.0,134402.0,863.0,542.0,14388.0,13907.0,2172.0,90.0,309.0,441.0,55.0,1964.0,1127.0,1116.0,6077.0,12115.0,0.0,1419.0,8588.0,22587.0,9428.0,4102.0,1021.0,426.0,5606.0,0.0,389.0,0.0,0.0,780.0,835.0
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey,856561.0,856561.0,384988.0,11089.0,192.0,1332.0,1759.0,145988.0,105361.0,0.0,2421.0,14230.0,98170.0,138.0,71.0,34.0,2552.0,0.0,37045.0,5411.0,5625.0,3193.0,21769.0,164.0,4992.0,10037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,1680219.0,1680219.0,372908.0,89099.0,3018.0,16131.0,5807.0,701553.0,116857.0,245.0,4496.0,31821.0,121947.0,3172.0,2261.0,575.0,17931.0,0.0,80661.0,7138.0,15130.0,13842.0,29460.0,1067.0,19584.0,25516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,309905.0,309905.0,105637.0,1871.0,1302.0,3313.0,3684.0,48983.0,28599.0,17317.0,2065.0,7827.0,22493.0,4020.0,73.0,718.0,4144.0,91.0,10416.0,1286.0,2075.0,3534.0,32728.0,399.0,4120.0,3210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,274585.0,274585.0,97858.0,947.0,1741.0,2566.0,5746.0,57202.0,23316.0,334.0,1468.0,9017.0,15358.0,2335.0,522.0,0.0,18455.0,0.0,6496.0,720.0,2276.0,4034.0,16537.0,0.0,4166.0,3491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,89950.0,89950.0,14789.0,990.0,0.0,3262.0,828.0,9032.0,9436.0,4967.0,217.0,2785.0,5037.0,1264.0,380.0,0.0,619.0,0.0,4783.0,0.0,102.0,2273.0,25455.0,0.0,2321.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,208250.0,194068.0,24830.0,477.0,0.0,3015.0,3619.0,43035.0,21073.0,3087.0,2295.0,14205.0,20794.0,4477.0,477.0,53.0,435.0,95.0,1235.0,626.0,2833.0,5046.0,33112.0,102.0,2914.0,6233.0,14182.0,2715.0,1999.0,134.0,132.0,1884.0,475.0,4491.0,1683.0,0.0,314.0,355.0
Pennsylvania,453662.0,453662.0,148419.0,4175.0,6947.0,3644.0,14123.0,107918.0,27327.0,643.0,3208.0,6682.0,42660.0,1647.0,974.0,1111.0,9780.0,0.0,14685.0,665.0,2909.0,4150.0,35459.0,253.0,7175.0,9108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,37101.0,37101.0,7385.0,323.0,0.0,1254.0,7049.0,6124.0,2183.0,1203.0,201.0,1728.0,2637.0,1799.0,65.0,0.0,0.0,0.0,317.0,0.0,1074.0,475.0,1272.0,0.0,1166.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,86571.0,86571.0,24950.0,117.0,0.0,958.0,3495.0,16548.0,11985.0,2256.0,130.0,1780.0,5229.0,1250.0,74.0,96.0,70.0,0.0,1831.0,59.0,311.0,2494.0,10539.0,207.0,973.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,125742.0,125742.0,33243.0,730.0,0.0,1965.0,1554.0,21111.0,12151.0,384.0,330.0,3253.0,10455.0,11204.0,981.0,481.0,536.0,388.0,4570.0,0.0,1330.0,4747.0,12194.0,0.0,2851.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,1473099.0,1446073.0,483245.0,11539.0,396.0,18301.0,15396.0,207955.0,139905.0,1591.0,7132.0,21823.0,78971.0,10912.0,1066.0,284.0,29004.0,199.0,68084.0,3625.0,15040.0,11811.0,273257.0,1859.0,16268.0,28410.0,27026.0,7682.0,3569.0,3489.0,0.0,6416.0,386.0,3676.0,106.0,0.0,1215.0,487.0
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah,107195.0,76470.0,14725.0,0.0,0.0,543.0,2875.0,13285.0,10257.0,350.0,471.0,7008.0,5053.0,3300.0,63.0,248.0,585.0,0.0,2079.0,45.0,518.0,3077.0,8235.0,508.0,848.0,2397.0,30725.0,1383.0,11399.0,12283.0,407.0,823.0,395.0,275.0,0.0,0.0,1575.0,2185.0
Virginia,565643.0,565643.0,153002.0,7790.0,0.0,2131.0,10897.0,79656.0,71823.0,405.0,1676.0,10524.0,65971.0,5717.0,827.0,2119.0,12823.0,0.0,40737.0,1251.0,3582.0,8209.0,68474.0,196.0,6085.0,11748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,735106.0,684967.0,127139.0,939.0,577.0,2883.0,19482.0,151931.0,112951.0,4601.0,3001.0,37804.0,68788.0,9163.0,269.0,1278.0,3074.0,121.0,12480.0,730.0,10422.0,10838.0,80453.0,195.0,2912.0,22936.0,50139.0,7928.0,11327.0,479.0,269.0,13686.0,2956.0,8729.0,1602.0,8.0,1300.0,1855.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,167420.0,167420.0,36049.0,814.0,0.0,4501.0,3327.0,21708.0,12668.0,51816.0,716.0,2893.0,7999.0,2816.0,198.0,496.0,1408.0,0.0,4689.0,273.0,914.0,1803.0,6660.0,0.0,3239.0,2433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
