State,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
Kansas,82444.0,82444.0,20564.0,169.0,1207.0,1925.0,880.0,11304.0,4505.0,3111.0,192.0,1746.0,5136.0,4487.0,1066.0,0.0,860.0,0.0,1619.0,88.0,371.0,1182.0,17089.0,155.0,3120.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,65300.0,65300.0,14340.0,174.0,1485.0,4870.0,2387.0,12639.0,6224.0,574.0,359.0,4806.0,5148.0,214.0,0.0,0.0,2593.0,0.0,241.0,0.0,663.0,1035.0,5819.0,0.0,922.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,76255.0,76255.0,9858.0,304.0,0.0,226.0,883.0,10931.0,11479.0,0.0,417.0,1172.0,2534.0,2925.0,178.0,0.0,1199.0,0.0,1205.0,0.0,616.0,855.0,29392.0,0.0,1543.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,378985.0,378985.0,99035.0,4986.0,0.0,3361.0,2121.0,85118.0,49140.0,34.0,1597.0,6545.0,45273.0,399.0,541.0,1008.0,7067.0,0.0,20172.0,2636.0,4407.0,4910.0,28104.0,155.0,5268.0,7108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,472403.0,472403.0,120063.0,1809.0,0.0,563.0,27572.0,176164.0,15409.0,861.0,2414.0,8933.0,23561.0,1891.0,608.0,21.0,6523.0,0.0,9929.0,2358.0,3552.0,3685.0,52771.0,226.0,5053.0,8437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,325828.0,325828.0,117983.0,11307.0,327.0,5000.0,924.0,58101.0,26962.0,5261.0,915.0,13900.0,27174.0,3132.0,315.0,400.0,2234.0,21.0,13253.0,1112.0,2771.0,4226.0,21132.0,0.0,4266.0,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,273126.0,273126.0,43596.0,1034.0,0.0,11782.0,6481.0,31890.0,13188.0,82778.0,311.0,5126.0,16431.0,10254.0,820.0,0.0,4275.0,0.0,2648.0,683.0,1663.0,4735.0,25404.0,0.0,5107.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,165380.0,165380.0,33093.0,261.0,0.0,7156.0,880.0,25715.0,8965.0,51089.0,154.0,4663.0,8900.0,2992.0,335.0,622.0,1128.0,0.0,4133.0,211.0,912.0,3423.0,6024.0,46.0,1560.0,3118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,121417.0,121417.0,30435.0,642.0,70.0,2212.0,796.0,27901.0,11302.0,1601.0,105.0,2388.0,11526.0,998.0,278.0,0.0,1746.0,0.0,3489.0,56.0,1720.0,2487.0,17208.0,42.0,1978.0,2437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,45779.0,45779.0,8337.0,0.0,285.0,6785.0,0.0,5282.0,4832.0,615.0,155.0,1632.0,3833.0,890.0,0.0,0.0,2105.0,0.0,941.0,268.0,428.0,720.0,7132.0,0.0,868.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,250137.0,250137.0,11123.0,265.0,354.0,580.0,1954.0,37555.0,129739.0,513.0,1221.0,11514.0,11750.0,3375.0,0.0,0.0,985.0,336.0,2779.0,134.0,1641.0,6262.0,17744.0,70.0,1497.0,8746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,36048.0,36048.0,9712.0,222.0,994.0,0.0,90.0,7816.0,2931.0,0.0,1259.0,744.0,1870.0,1141.0,0.0,0.0,3114.0,0.0,482.0,0.0,325.0,711.0,3361.0,0.0,325.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey,868213.0,868213.0,387244.0,11600.0,477.0,2692.0,2624.0,148003.0,120222.0,42.0,1125.0,12448.0,99165.0,1320.0,750.0,1955.0,1457.0,0.0,31529.0,2398.0,5444.0,2923.0,19085.0,108.0,5765.0,9837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,1666113.0,1666113.0,379439.0,93040.0,4321.0,15303.0,2396.0,689449.0,111456.0,226.0,4161.0,38853.0,123507.0,2364.0,2492.0,1162.0,16054.0,59.0,73209.0,6649.0,15598.0,15257.0,29751.0,607.0,16392.0,24368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,306682.0,306682.0,104438.0,1690.0,642.0,3206.0,5908.0,50878.0,20713.0,13241.0,161.0,8752.0,22544.0,5217.0,206.0,237.0,10115.0,0.0,10375.0,151.0,2632.0,7204.0,28006.0,0.0,7030.0,3336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,271762.0,271762.0,95049.0,3577.0,5775.0,2311.0,5186.0,57253.0,18275.0,109.0,1043.0,11629.0,17893.0,4988.0,254.0,85.0,11074.0,0.0,4303.0,2690.0,2364.0,2903.0,17619.0,0.0,3832.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,84694.0,84694.0,18453.0,836.0,0.0,3823.0,559.0,10431.0,4314.0,4922.0,212.0,2032.0,7244.0,1582.0,0.0,0.0,371.0,0.0,3049.0,60.0,1092.0,1778.0,20629.0,21.0,1433.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,209438.0,190680.0,26182.0,678.0,0.0,81.0,5018.0,40224.0,24144.0,3041.0,819.0,13293.0,17743.0,7861.0,270.0,0.0,171.0,0.0,2037.0,1136.0,1965.0,3732.0,32447.0,0.0,2187.0,7651.0,18758.0,6114.0,686.0,749.0,0.0,1538.0,1147.0,6565.0,1087.0,0.0,101.0,771.0
Pennsylvania,455027.0,455027.0,143539.0,8090.0,2324.0,2151.0,13022.0,115639.0,25128.0,384.0,4285.0,5056.0,39144.0,4694.0,701.0,171.0,10891.0,33.0,13964.0,258.0,4178.0,2059.0,40920.0,576.0,8790.0,9030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,36064.0,36064.0,8342.0,0.0,0.0,0.0,5536.0,7984.0,1818.0,2072.0,366.0,903.0,1538.0,1854.0,36.0,0.0,128.0,0.0,982.0,30.0,351.0,884.0,1916.0,0.0,197.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,80969.0,80969.0,21145.0,0.0,0.0,866.0,1320.0,15156.0,13260.0,1436.0,0.0,3393.0,4741.0,463.0,37.0,0.0,573.0,0.0,148.0,0.0,631.0,2957.0,13641.0,0.0,377.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,119046.0,119046.0,26391.0,545.0,297.0,2448.0,2507.0,20915.0,11865.0,946.0,367.0,5158.0,9488.0,7700.0,32.0,0.0,3238.0,0.0,3012.0,590.0,619.0,4718.0,14882.0,0.0,1143.0,2185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,1452320.0,1430857.0,452598.0,13442.0,960.0,22429.0,9993.0,215366.0,146320.0,2280.0,7547.0,24311.0,80649.0,18102.0,2590.0,841.0,20684.0,41.0,67368.0,5781.0,17731.0,14116.0,267996.0,501.0,17161.0,22050.0,21463.0,6038.0,5748.0,303.0,423.0,4615.0,131.0,2270.0,425.0,0.0,1283.0,227.0
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah,105260.0,75898.0,12079.0,324.0,0.0,1537.0,2071.0,13911.0,8034.0,282.0,2212.0,6208.0,6756.0,1785.0,171.0,284.0,1092.0,0.0,1192.0,136.0,374.0,3958.0,9663.0,76.0,2267.0,1486.0,29362.0,2090.0,8386.0,10569.0,88.0,836.0,976.0,471.0,1669.0,811.0,864.0,2602.0
Virginia,555422.0,555422.0,153601.0,10844.0,1435.0,2004.0,7544.0,75325.0,80656.0,396.0,1844.0,10850.0,73411.0,2267.0,588.0,2109.0,5338.0,43.0,28196.0,1065.0,2706.0,8180.0,68558.0,46.0,8068.0,10348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,715705.0,661781.0,128356.0,956.0,0.0,3736.0,20437.0,140750.0,100877.0,2032.0,1282.0,38846.0,66990.0,9015.0,821.0,2438.0,3078.0,124.0,9426.0,874.0,9594.0,7701.0,84125.0,574.0,5527.0,24222.0,53924.0,7135.0,15187.0,334.0,2066.0,12067.0,4464.0,5557.0,3635.0,0.0,1307.0,2172.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
